,index,ex,k,distance,mink_power,decision,weighting,mean_sc,std_sc,mean_time,std_time
34,25,ex_25,3,minkowski,1,sheppard,relieff,0.9660672746542568,0.009617579244547082,0.933937931060791,0.01970594152550277
35,64,ex_64,7,minkowski,2,majority,relieff,0.9660651880539961,0.006141767188435383,1.0041529893875123,0.06042475489600664
36,70,ex_70,7,minkowski,2,sheppard,relieff,0.9660651880539961,0.006141767188435383,1.025108814239502,0.10196758649344682
37,16,ex_16,1,minkowski,2,sheppard,relieff,0.9655437992102467,0.009300597546095128,1.018019962310791,0.09820059096127662
38,10,ex_10,1,minkowski,2,majority,relieff,0.9655437992102467,0.009300597546095128,0.9688475847244262,0.08123537032575934
39,13,ex_13,1,minkowski,2,IDW,relieff,0.9655437992102467,0.009300597546095128,1.0199843168258667,0.012963937598298989
40,52,ex_52,5,minkowski,2,sheppard,relieff,0.9655360875248956,0.0075871990841829915,0.9400460720062256,0.020355781491606172
41,46,ex_46,5,minkowski,2,majority,relieff,0.9655360875248956,0.0075871990841829915,0.967760419845581,0.0774425892465649
42,37,ex_37,5,minkowski,1,majority,relieff,0.9650076887206348,0.009747315635113862,0.9388904333114624,0.031527486956982154
43,43,ex_43,5,minkowski,1,sheppard,relieff,0.9650076887206348,0.009747315635113862,1.0138278007507324,0.0964977667406333
44,67,ex_67,7,minkowski,2,IDW,relieff,0.9650076776115343,0.007470722713604825,1.0879706859588623,0.04514840300118425
45,69,ex_69,7,minkowski,2,sheppard,equal,0.9647417238677594,0.00863199675582439,0.997835350036621,0.04583454894061051
46,63,ex_63,7,minkowski,2,majority,equal,0.9647417238677594,0.00863199675582439,0.9160953521728515,0.012690420217698159
47,34,ex_34,3,minkowski,2,sheppard,relieff,0.9642091146849149,0.008577881133120323,0.9473771333694458,0.022087611158640462
48,28,ex_28,3,minkowski,2,majority,relieff,0.9642091146849149,0.008577881133120323,0.9751536130905152,0.10324759947905389
49,31,ex_31,3,minkowski,2,IDW,relieff,0.9639466696539747,0.008561838036173334,1.0266007900238037,0.10096003080675617
50,45,ex_45,5,minkowski,2,majority,equal,0.9631509136562594,0.008247689954092247,0.9267688274383545,0.027794954234117385
51,51,ex_51,5,minkowski,2,sheppard,equal,0.9631509136562594,0.008247689954092247,0.9032142639160157,0.026384714718766515
52,42,ex_42,5,minkowski,1,sheppard,equal,0.9628870688491278,0.008454259943393636,1.0573719978332519,0.09824934806158156
53,36,ex_36,5,minkowski,1,majority,equal,0.9628870688491278,0.008454259943393636,0.8944967031478882,0.06754582266431429
54,66,ex_66,7,minkowski,2,IDW,equal,0.9628863485204843,0.010058129672579576,1.013586401939392,0.04031411121095803
55,60,ex_60,7,minkowski,1,sheppard,equal,0.9626204134100584,0.007054615221107564,0.8795128583908081,0.011342508589822437
56,54,ex_54,7,minkowski,1,majority,equal,0.9626204134100584,0.007054615221107564,0.8612523555755616,0.010995133005676394
57,39,ex_39,5,minkowski,1,IDW,equal,0.9623579571813814,0.008998954143431964,0.9745320558547974,0.025374041723004084
58,48,ex_48,5,minkowski,2,IDW,equal,0.9620912868415419,0.010199607306144607,0.9459014654159545,0.015391269631632504
59,57,ex_57,7,minkowski,1,IDW,equal,0.9615615069239842,0.007693989319214522,0.9327186584472656,0.010878796095693092
60,15,ex_15,1,minkowski,2,sheppard,equal,0.9607727422534313,0.010070669431943192,0.9451593160629272,0.06461747437736545
61,12,ex_12,1,minkowski,2,IDW,equal,0.9607727422534313,0.010070669431943192,1.0035892963409423,0.05795929377495088
62,9,ex_9,1,minkowski,2,majority,equal,0.9607727422534313,0.010070669431943192,0.9041653633117676,0.0038418212953228986
63,27,ex_27,3,minkowski,2,majority,equal,0.9594401778329343,0.009179189482103866,0.8994218111038208,0.02320211165908746
64,33,ex_33,3,minkowski,2,sheppard,equal,0.9594401778329343,0.009179189482103866,0.8884944915771484,0.0075165311032378305
65,21,ex_21,3,minkowski,1,IDW,equal,0.9591728132334131,0.00912858829328377,0.962113618850708,0.014975652522084845
66,24,ex_24,3,minkowski,1,sheppard,equal,0.9591700137401213,0.007903728977962802,0.935242748260498,0.10023271813217745
67,18,ex_18,3,minkowski,1,majority,equal,0.9591700137401213,0.007903728977962802,0.887169623374939,0.007159191174924016
68,30,ex_30,3,minkowski,2,IDW,equal,0.9586472213580564,0.009553541369557649,0.9558804273605347,0.025809699745707203
69,0,ex_0,1,minkowski,1,majority,equal,0.9567918497729059,0.009683032134865707,0.8410016059875488,0.0442483949495225
70,6,ex_6,1,minkowski,1,sheppard,equal,0.9567918497729059,0.009683032134865707,1.131686019897461,0.08130188685737338
71,3,ex_3,1,minkowski,1,IDW,equal,0.9567918497729059,0.009683032134865707,0.9817698955535888,0.03474951986034573
72,83,ex_83,3,cosine,,majority,IG,0.9392887010284078,0.001456032885417577,0.9487099170684814,0.02185761620580896
73,95,ex_95,5,cosine,,IDW,IG,0.9387616982677593,0.0024342174759645666,1.0267400741577148,0.08415390710437647
74,101,ex_101,7,cosine,,majority,IG,0.9387588987744676,0.000815372566733639,0.9769097566604614,0.049916035988169974
75,86,ex_86,3,cosine,,IDW,IG,0.9387588987744676,0.000815372566733639,1.0015470743179322,0.01339545536019927
76,107,ex_107,7,cosine,,sheppard,IG,0.937432638827518,0.004931545130864996,0.9989548683166504,0.06090893977414001
77,104,ex_104,7,cosine,,IDW,IG,0.9374326388275179,0.0027265489336675886,1.0228518009185792,0.010062905900897874
78,89,ex_89,3,cosine,,sheppard,IG,0.9369021348487383,0.0073992653342525505,0.9598105907440185,0.04098855657035084
79,98,ex_98,5,cosine,,sheppard,IG,0.9318623470503298,0.011826026395236118,0.992921781539917,0.08731411324220589
80,92,ex_92,5,cosine,,majority,IG,0.9313304396218705,0.024936703841444394,0.9529219150543213,0.09124847600951488
81,74,ex_74,1,cosine,,majority,IG,0.9241974028941897,0.03111200074458243,0.9229675769805908,0.012736925244657525
82,81,ex_81,3,cosine,,majority,equal,0.9236437085206728,0.007039450133750071,0.9749897718429565,0.08110678376883947
83,87,ex_87,3,cosine,,sheppard,equal,0.9236437085206728,0.007039450133750071,0.9769547700881958,0.09511207311557504
84,84,ex_84,3,cosine,,IDW,equal,0.9236437085206728,0.007039450133750071,1.0467141389846801,0.06773822625047107
85,97,ex_97,5,cosine,,sheppard,relieff,0.9228479637206941,0.02543898336533725,0.9738522291183471,0.021593517777725117
86,91,ex_91,5,cosine,,majority,relieff,0.9228479637206941,0.02543898336533725,0.9330552101135254,0.018539221498647108
87,94,ex_94,5,cosine,,IDW,relieff,0.9228479637206941,0.02543898336533725,1.0385611534118653,0.04284967860943535
88,100,ex_100,7,cosine,,majority,relieff,0.9183520349798562,0.03145153704393948,0.9884494543075562,0.09472111722865616
89,106,ex_106,7,cosine,,sheppard,relieff,0.9183520349798562,0.03145153704393948,0.9761659622192382,0.014295503226460643
90,103,ex_103,7,cosine,,IDW,relieff,0.9183520349798562,0.03145153704393948,1.105927586555481,0.08260357792485098
91,90,ex_90,5,cosine,,majority,equal,0.9170138383341111,0.03032930244089152,0.9093102216720581,0.010391834968284991
92,93,ex_93,5,cosine,,IDW,equal,0.9170138383341111,0.03032930244089152,0.999628233909607,0.02132084422848041
93,96,ex_96,5,cosine,,sheppard,equal,0.9170138383341111,0.03032930244089152,0.9817709445953369,0.06102355977296507
94,88,ex_88,3,cosine,,sheppard,relieff,0.9138215876444882,0.016300123118109387,0.953776216506958,0.020038915349859802
95,85,ex_85,3,cosine,,IDW,relieff,0.9138215876444882,0.016300123118109387,1.0748177528381349,0.10896918471608019
96,82,ex_82,3,cosine,,majority,relieff,0.9138215876444882,0.016300123118109387,1.0064916133880615,0.09631676386549956
97,80,ex_80,1,cosine,,sheppard,IG,0.9040001793954253,0.04318246445509221,0.9409524440765381,0.006131569130366211
98,99,ex_99,7,cosine,,majority,equal,0.8976721483210595,0.020154873546266272,0.9276807546615601,0.022965166386999445
99,102,ex_102,7,cosine,,IDW,equal,0.8976721483210595,0.020154873546266272,1.1223901987075806,0.19619663170201843
100,105,ex_105,7,cosine,,sheppard,equal,0.8976721483210595,0.020154873546266272,0.9420196533203125,0.005175340673497578
101,77,ex_77,1,cosine,,IDW,IG,0.8851863466672342,0.05489429655085233,1.0315457820892333,0.07690943348024691
102,75,ex_75,1,cosine,,IDW,equal,0.7976879565610286,0.026799937557538487,0.9980713367462158,0.009510373373731186
103,72,ex_72,1,cosine,,majority,equal,0.7976879565610286,0.026799937557538487,0.9175947904586792,0.02047737733064079
104,78,ex_78,1,cosine,,sheppard,equal,0.7976879565610286,0.026799937557538487,0.9533324003219604,0.10092248581339458
105,76,ex_76,1,cosine,,IDW,relieff,0.7213331802428393,0.03527881190329308,1.019050168991089,0.02106358435361867
106,73,ex_73,1,cosine,,majority,relieff,0.7213331802428393,0.03527881190329308,0.9402671337127686,0.0359425480496032
107,79,ex_79,1,cosine,,sheppard,relieff,0.7213331802428393,0.03527881190329308,0.9405081272125244,0.006780521970322795
