,index,ex,k,distance,mink_power,decision,weighting,mean_sc,std_sc,mean_time,std_time
23,14,ex_14,1,minkowski,2,IDW,IG,0.9915397331873473,0.0034280193536474312,3.9552597284317015,0.17788682194150574
24,60,ex_60,7,minkowski,1,sheppard,equal,0.9914484059832327,0.0012971422157925434,3.6785566091537474,0.1266454962116663
25,54,ex_54,7,minkowski,1,majority,equal,0.9914484059832327,0.0012971422157925434,3.2431179761886595,0.05014474640414938
26,53,ex_53,5,minkowski,2,sheppard,IG,0.9912670844241944,0.0021196496814641307,3.4297292947769167,0.06973336513653963
27,11,ex_11,1,minkowski,2,majority,IG,0.9911761775892917,0.003329226577908821,3.6618510723114013,0.15110967394534325
28,32,ex_32,3,minkowski,2,IDW,IG,0.9909923727734873,0.0031411500605620997,4.248030352592468,0.23718185335062983
29,50,ex_50,5,minkowski,2,IDW,IG,0.9909034483623174,0.002071123475877441,3.635094094276428,0.04715996294510602
30,17,ex_17,1,minkowski,2,sheppard,IG,0.9907208864525463,0.003223428883782733,3.630076694488525,0.04725575453166731
31,35,ex_35,3,minkowski,2,sheppard,IG,0.9907200575976736,0.0030421332517680194,3.4482093811035157,0.07807114235486988
32,31,ex_31,3,minkowski,2,IDW,relieff,0.9906296446742344,0.0014119132660139514,4.14057228565216,0.08139586933828555
33,29,ex_29,3,minkowski,2,majority,IG,0.9905381565453538,0.003053059935737747,3.9065084218978883,0.1365713031431659
34,28,ex_28,3,minkowski,2,majority,relieff,0.9902659240869032,0.0015233181123455763,3.8132796049118043,0.14470101287876128
35,34,ex_34,3,minkowski,2,sheppard,relieff,0.9902659240869032,0.0015233181123455763,3.614872121810913,0.2652747893537396
36,65,ex_65,7,minkowski,2,majority,IG,0.9896307999013357,0.002264702470613285,3.8345103740692137,0.1031426561133702
37,68,ex_68,7,minkowski,2,IDW,IG,0.989540139573017,0.0025735861261724667,4.241420030593872,0.10625396452829353
38,71,ex_71,7,minkowski,2,sheppard,IG,0.9893576587281213,0.0025696092370741538,3.4559860944747927,0.09314715783513579
39,16,ex_16,1,minkowski,2,sheppard,relieff,0.9893571625577744,0.001989902638100753,3.7053372621536256,0.20242464176925737
40,10,ex_10,1,minkowski,2,majority,relieff,0.9893571625577744,0.001989902638100753,3.662748026847839,0.13656504115139817
41,13,ex_13,1,minkowski,2,IDW,relieff,0.9893571625577744,0.001989902638100753,4.140733075141907,0.30675522376131514
42,67,ex_67,7,minkowski,2,IDW,relieff,0.9893562511296418,0.0025406322520227765,4.2595991611480715,0.23236808179636273
43,44,ex_44,5,minkowski,1,sheppard,IG,0.9892660868234613,0.0026893757046530086,3.4508580684661867,0.14535699314818828
44,59,ex_59,7,minkowski,1,IDW,IG,0.9891755107188376,0.0030536416582386725,3.9445021629333494,0.12456048479274241
45,49,ex_49,5,minkowski,2,IDW,relieff,0.9889002997336224,0.0028428672465598877,3.599845623970032,0.06612536213760888
46,52,ex_52,5,minkowski,2,sheppard,relieff,0.9889002168631208,0.0027239597869221197,3.459445333480835,0.07061081782996528
47,46,ex_46,5,minkowski,2,majority,relieff,0.9889002168631208,0.0027239597869221197,3.3461965799331663,0.05757576024457368
48,41,ex_41,5,minkowski,1,IDW,IG,0.9888106318995478,0.0025088402435805876,3.521586608886719,0.11686323528729796
49,38,ex_38,5,minkowski,1,majority,IG,0.9887202191296591,0.0031543032698974098,3.405540943145752,0.08503695281339584
50,2,ex_2,1,minkowski,1,majority,IG,0.9887199730755082,0.003596941874436258,3.7167370319366455,0.08924221898369603
51,64,ex_64,7,minkowski,2,majority,relieff,0.9887191415093189,0.002159843428935037,3.808173322677612,0.15611419598682966
52,70,ex_70,7,minkowski,2,sheppard,relieff,0.9887191415093189,0.002159843428935037,3.9903668403625487,0.24779153539669305
53,22,ex_22,3,minkowski,1,IDW,relieff,0.9886294754775818,0.002763017676839851,4.11621675491333,0.17498244150666664
54,5,ex_5,1,minkowski,1,IDW,IG,0.9886288149198373,0.003021132002729684,3.8952778339385987,0.10044276685083146
55,8,ex_8,1,minkowski,1,sheppard,IG,0.9885379055296337,0.002671771044181904,3.794456386566162,0.15388493506641432
56,23,ex_23,3,minkowski,1,IDW,IG,0.988536913790818,0.002968975407967653,3.9554322481155397,0.09585799600935795
57,20,ex_20,3,minkowski,1,majority,IG,0.9885367480494027,0.0026447393736441366,3.805512261390686,0.12177071754923104
58,62,ex_62,7,minkowski,1,sheppard,IG,0.9884472435467744,0.0036616756101042233,3.8314127922058105,0.12647481462738724
59,7,ex_7,1,minkowski,1,sheppard,relieff,0.9883573255928031,0.002492694454537915,3.789278674125671,0.16529847150504443
60,4,ex_4,1,minkowski,1,IDW,relieff,0.9883573255928031,0.002492694454537915,4.04708948135376,0.14978383738166332
61,1,ex_1,1,minkowski,1,majority,relieff,0.9883573255928031,0.002492694454537915,3.7472105741500856,0.15168863589443193
62,19,ex_19,3,minkowski,1,majority,relieff,0.9883567465499018,0.002747923657845806,3.792098116874695,0.22854680775756225
